https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1.59764E+12,8/17/20 4:00,LTC/USD,63.6,69,62.46,67.24,28829.79478,1938515.401
1.59755E+12,8/16/20 4:00,LTC/USD,61.58,64.55,58.05,63.6,18422.51557,1171671.99
1.59746E+12,8/15/20 4:00,LTC/USD,57.73,62.95,56.78,61.58,17174.07013,1057579.239
1.59738E+12,8/14/20 4:00,LTC/USD,56.44,58.36,56.03,57.73,8441.167453,487308.5971
1.59729E+12,8/13/20 4:00,LTC/USD,54.51,57.5,52,56.44,17179.72346,969623.5919
1.5972E+12,8/12/20 4:00,LTC/USD,53.58,55.25,51.62,54.51,9557.854755,520998.6627
1.59712E+12,8/11/20 4:00,LTC/USD,58.32,58.55,52.45,53.58,20468.10443,1096681.035
1.59703E+12,8/10/20 4:00,LTC/USD,58.26,59.69,56.62,58.32,16864.58444,983542.5647
1.59695E+12,8/9/20 4:00,LTC/USD,58.21,58.49,56.21,58.26,3540.608809,206275.8692
1.59686E+12,8/8/20 4:00,LTC/USD,56.67,58.73,56.62,58.21,11999.28884,698478.6034
1.59677E+12,8/7/20 4:00,LTC/USD,59.65,61.09,54.77,56.67,19183.06172,1087104.108
1.59669E+12,8/6/20 4:00,LTC/USD,58.4,60.68,57.84,59.65,16297.97558,972174.2431
1.5966E+12,8/5/20 4:00,LTC/USD,57.49,59.94,57.35,58.4,13912.23458,812474.4994
1.59651E+12,8/4/20 4:00,LTC/USD,58.41,58.66,56.48,57.49,11438.20769,657582.5598
1.59643E+12,8/3/20 4:00,LTC/USD,57.2,59.87,57.2,58.41,5569.355954,325306.0812
1.59634E+12,8/2/20 4:00,LTC/USD,65.06,65.06,52.21,57.2,35297.04993,2018991.256
1.59625E+12,8/1/20 4:00,LTC/USD,59.44,65.25,58.53,65.06,22748.08766,1479990.583
1.59617E+12,7/31/20 4:00,LTC/USD,56.02,59.72,56.02,59.44,10386.52923,617375.2974
1.59608E+12,7/30/20 4:00,LTC/USD,54.81,57.08,54.81,56.02,1403.493174,78623.6876
1.596E+12,7/29/20 4:00,LTC/USD,56.23,57,54.23,54.81,14542.41598,797069.8199
1.59591E+12,7/28/20 4:00,LTC/USD,53.61,58,51.72,56.23,28734.30265,1615729.838
1.59582E+12,7/27/20 4:00,LTC/USD,48.71,56,47,53.61,41564.85566,2228291.912
1.59574E+12,7/26/20 4:00,LTC/USD,48.75,50.79,47.68,48.71,23491.24109,1144258.353
1.59565E+12,7/25/20 4:00,LTC/USD,46.95,49.56,46.82,48.75,19108.97546,931562.5539
1.59556E+12,7/24/20 4:00,LTC/USD,44.79,47.39,44.03,46.95,11837.51763,555771.4527
1.59548E+12,7/23/20 4:00,LTC/USD,45.06,45.64,44.48,44.79,8514.271255,381354.2095
1.59539E+12,7/22/20 4:00,LTC/USD,43.92,45.73,43.31,45.06,10702.36284,482248.4694
1.5953E+12,7/21/20 4:00,LTC/USD,42.33,44.1,42.25,43.92,10370.8344,455487.047
1.59522E+12,7/20/20 4:00,LTC/USD,42.68,42.71,41.43,42.33,8987.683942,380448.6613
1.59513E+12,7/19/20 4:00,LTC/USD,42.31,42.82,41.92,42.68,4275.397067,182473.9468
1.59504E+12,7/18/20 4:00,LTC/USD,41.9,42.94,41.87,42.31,3199.618149,135375.8439
1.59496E+12,7/17/20 4:00,LTC/USD,42.02,42.42,41.76,41.9,2987.260464,125166.2134
1.59487E+12,7/16/20 4:00,LTC/USD,43.27,43.27,41.92,42.02,310.42104,13043.8921
1.59479E+12,7/15/20 4:00,LTC/USD,43.59,43.63,42.86,43.27,6437.718047,278560.0599
1.5947E+12,7/14/20 4:00,LTC/USD,43.49,44.01,42.91,43.59,9785.660178,426556.9271
1.59461E+12,7/13/20 4:00,LTC/USD,44.66,45.56,42.63,43.49,18772.08043,816397.7778
1.59453E+12,7/12/20 4:00,LTC/USD,45.13,45.25,43.76,44.66,4814.625847,215021.1903
1.59444E+12,7/11/20 4:00,LTC/USD,44.32,45.13,44.06,45.13,2259.042117,101950.5708
1.59435E+12,7/10/20 4:00,LTC/USD,44.14,44.67,43.45,44.32,6039.07178,267651.6613
1.59427E+12,7/9/20 4:00,LTC/USD,44.88,45.84,43.61,44.14,15545.13355,686162.1948
1.59418E+12,7/8/20 4:00,LTC/USD,44.75,45.61,44.14,44.88,16716.96615,750257.4408
1.59409E+12,7/7/20 4:00,LTC/USD,43.81,44.8,43.07,44.75,10674.05181,477663.8183
1.59401E+12,7/6/20 4:00,LTC/USD,41.79,44.49,41.69,43.81,13373.65994,585900.0419
1.59392E+12,7/5/20 4:00,LTC/USD,41.87,41.89,40.96,41.79,4447.802146,185873.6517
1.59384E+12,7/4/20 4:00,LTC/USD,41.63,42.19,41.44,41.87,2277.879378,95374.80957
1.59375E+12,7/3/20 4:00,LTC/USD,41.15,41.72,41.06,41.63,3664.577508,152556.3616
